line,hyp.length,plate,chamber,light
BBB,2.985,68,LED,sun
BBB,4.913,68,LED,sun
BBB,3.311,68,LED,sun
BBB,4.461,68,LED,sun
BBB,4.426,68,LED,sun
BBB,4.345,68,LED,sun
BBB,3.322,68,LED,sun
BBS4,3.908,44,LED,shade
BBS4,4.77,44,LED,shade
BBS4,5.442,44,LED,shade
BBS4,5.273,44,LED,shade
BBS4,3.461,44,LED,shade
BBS4,4.619,44,LED,shade
BBS4,2.351,44,LED,shade
BBS4,4.002,44,LED,shade
BBS4,3.944,44,LED,shade
BBS4,4.368,44,LED,shade
BBS4,3.771,44,LED,shade
BBS4,4.588,44,LED,shade
BBS4,5.018,44,LED,shade
BBS4,4.634,44,LED,shade
BBS4,4.915,44,LED,shade
elf3.1,3.988,C7,LED,sun
elf3.1,5.943,C7,LED,sun
elf3.1,5.182,C7,LED,sun
elf3.1,5.747,C7,LED,sun
elf3.1,7.226,C7,LED,sun
elf3.1,5.424,C7,LED,sun
elf3.1,5.833,C7,LED,sun
elf3.1,5.936,C7,LED,sun
elf3.1,6.561,C7,LED,sun
elf3.1,4.196,C7,LED,sun
elf3.1,5.899,C7,LED,sun
elf3.1,4.824,C7,LED,sun
elf3.1,6.45,C7,LED,sun
elf3.1,4.778,C7,LED,sun
elf3.1,3.238,C7,LED,sun
elf3.1,4.098,C7,LED,sun
elf3.1,8.825,C7,LED,sun
elf3.1,7.711,C7,LED,sun
sha,4.249,C7,LED,sun
sha,3.913,C7,LED,sun
sha,4.443,C7,LED,sun
sha,4.985,C7,LED,sun
sha,2.765,C7,LED,sun
sha,3.46,C7,LED,sun
sha,2.885,C7,LED,sun
sha,3.408,C7,LED,sun
sha,3.218,C7,LED,sun
sha,3.125,C7,LED,sun
sha,4.233,C7,LED,sun
sha,4.934,C7,LED,sun
sha,3.897,C7,LED,sun
sha,4.243,C7,LED,sun
sha,3.181,C7,LED,sun
sha,3.269,C7,LED,sun
sha,4.22,C7,LED,sun
sha,3.423,C7,LED,sun
sha,3.875,C7,LED,sun
SSS3,5.642,35,LED,shade
SSS3,4.633,35,LED,shade
SSS3,5.581,35,LED,shade
SSS3,4.672,35,LED,shade
SSS3,6.418,35,LED,shade
SSS3,3.78,35,LED,shade
SSS3,5.639,35,LED,shade
SSS3,4.883,35,LED,shade
SSS3,5.159,35,LED,shade
